tic_id,obs_id,ra,dec,file_type,calib_level,t_min,t_max,file_path,proposal_pi,obs_title
440801822,tess2021310001228-s0045-0000000440801822-0216-s,109.382918119331,13.395213633674,LC,3,59525.22953440972,59550.128660138886,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021310001228-s0045-0000000440801822-0216-s_lc.fits,"Ricker, George",
440801822,tess2018206190142-s0001-s0046-0000000440801822,109.382918119331,13.395213633674,DVT,3,59201.231020439816,59578.20616966435,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0046-0000000440801822-00555_dvt.fits,"Ricker, George",
440801822,tess2021336043614-s0046-0000000440801822-0217-s,109.382918119331,13.395213633674,LC,3,59551.50788818287,59578.20616966435,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021336043614-s0046-0000000440801822-0217-s_lc.fits,"Ricker, George",
440801822,tess2021233042500-s0042-s0046-0000000440801822,109.382918119331,13.395213633674,DVT,3,59499.68127185185,59578.20616966435,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2021233042500-s0042-s0046-0000000440801822-00550_dvt.fits,"Ricker, George",
139853601,tess2021014023720-s0034-0000000139853601-0204-s,112.294007783508,-21.8329308987815,LC,3,59228.27024268518,59253.56859828704,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000139853601-0204-s_lc.fits,"Ricker, George",
97700520,tess2020351194500-s0033-0000000097700520-0203-s,107.286083090328,-31.9335536155682,LC,3,59201.23431538,59227.07499337,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020351194500-s0033-0000000097700520-0203-s_lc.fits,"Ricker, George",
97700520,tess2018206190142-s0001-s0036-0000000097700520,107.286083090328,-31.9335536155682,DVT,3,59201.228759641206,59253.56774987269,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0036-0000000097700520-00464_dvt.fits,"Ricker, George",
97700520,tess2021014023720-s0034-0000000097700520-0204-s,107.286083090328,-31.9335536155682,LC,3,59228.26804890046,59253.56774987269,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000097700520-0204-s_lc.fits,"Ricker, George",
96246348,tess2020351194500-s0033-0000000772008800-0203-s,103.561670499712,-34.2228617831462,LC,3,59201.23422369,59227.07476067,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020351194500-s0033-0000000772008800-0203-s_lc.fits,"Ricker, George",
96246348,tess2020351194500-s0033-0000000096246348-0203-s,103.561670499712,-34.2228617831462,LC,3,59201.23422367,59227.07476068,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020351194500-s0033-0000000096246348-0203-s_lc.fits,"Ricker, George",
96246348,tess2018206190142-s0001-s0036-0000000096246348,103.561670499712,-34.2228617831462,DVT,3,59201.22866797454,59253.56742207176,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0036-0000000096246348-00464_dvt.fits,"Ricker, George",
96246348,tess2018206190142-s0001-s0036-0000000772008800,103.561670499712,-34.2228617831462,DVT,3,59201.22866798611,59253.56742204861,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0036-0000000772008800-00464_dvt.fits,"Ricker, George",
96246348,tess2021014023720-s0034-0000000096246348-0204-s,103.561670499712,-34.2228617831462,LC,3,59228.26781123842,59253.56742207176,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000096246348-0204-s_lc.fits,"Ricker, George",
96246348,tess2021014023720-s0034-0000000772008800-0204-s,103.561670499712,-34.2228617831462,LC,3,59228.26781123842,59253.56742204861,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000772008800-0204-s_lc.fits,"Ricker, George",
96246348,tess2023018032328-s0061-0000000096246348-0250-s,103.561670499712,-34.2228617831462,LC,3,59962.300778819445,59987.722524363424,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2023018032328-s0061-0000000096246348-0250-s_lc.fits,"Ricker, George",
