tic_id,obs_id,ra,dec,calib_level,t_min,t_max,dataURL,obs_title,proposal_pi
176957796,tess2019085135100-s0010-0000000176957796-0140-s,101.297293119643,-66.2380357276682,3,58568.93625274306,58595.18063079861,mast:TESS/product/tess2019085135100-s0010-0000000176957796-0140-s_lc.fits,,"Ricker, George"
176957796,tess2018292075959-s0004-0000000176957796-0124-s,101.297293119643,-66.2380357276682,3,58410.39933956019,58436.3397378588,mast:TESS/product/tess2018292075959-s0004-0000000176957796-0124-s_lc.fits,,"Ricker, George"
176957796,tess2019006130736-s0007-0000000176957796-0131-s,101.297293119643,-66.2380357276682,3,58491.131789652776,58515.586120810185,mast:TESS/product/tess2019006130736-s0007-0000000176957796-0131-s_lc.fits,,"Ricker, George"
176957796,tess2018234235059-s0002-0000000176957796-0121-s,101.297293119643,-66.2380357276682,3,58353.606323865744,58381.01319945602,mast:TESS/product/tess2018234235059-s0002-0000000176957796-0121-s_lc.fits,,"Ricker, George"
176957796,tess2019169103026-s0013-0000000176957796-0146-s,101.297293119643,-66.2380357276682,3,58653.41912564815,58681.85640055555,mast:TESS/product/tess2019169103026-s0013-0000000176957796-0146-s_lc.fits,,"Ricker, George"
176957796,tess2018319095959-s0005-0000000176957796-0125-s,101.297293119643,-66.2380357276682,3,58437.488351458334,58463.78714241898,mast:TESS/product/tess2018319095959-s0005-0000000176957796-0125-s_lc.fits,,"Ricker, George"
176957796,tess2019032160000-s0008-0000000176957796-0136-s,101.297293119643,-66.2380357276682,3,58516.86251234954,58541.500119780096,mast:TESS/product/tess2019032160000-s0008-0000000176957796-0136-s_lc.fits,,"Ricker, George"
176957796,tess2019058134432-s0009-0000000176957796-0139-s,101.297293119643,-66.2380357276682,3,58542.73761898148,58567.97514510417,mast:TESS/product/tess2019058134432-s0009-0000000176957796-0139-s_lc.fits,,"Ricker, George"
176957796,tess2018206045859-s0001-0000000176957796-0120-s,101.297293119643,-66.2380357276682,3,58324.792600347224,58352.675774641204,mast:TESS/product/tess2018206045859-s0001-0000000176957796-0120-s_lc.fits,,"Ricker, George"
176957796,tess2019140104343-s0012-0000000176957796-0144-s,101.297293119643,-66.2380357276682,3,58624.46657082176,58652.39135961806,mast:TESS/product/tess2019140104343-s0012-0000000176957796-0144-s_lc.fits,,"Ricker, George"
176957796,tess2018206190142-s0001-s0009-0000000176957796,101.297293119643,-66.2380357276682,3,58324.79262302083,58567.975168125,mast:TESS/product/tess2018206190142-s0001-s0009-0000000176957796-00205_dvt.fits,,"Ricker, George"
176957796,tess2019112060037-s0011-0000000176957796-0143-s,101.297293119643,-66.2380357276682,3,58596.276456273146,58623.3915819213,mast:TESS/product/tess2019112060037-s0011-0000000176957796-0143-s_lc.fits,,"Ricker, George"
176957796,tess2018263035959-s0003-0000000176957796-0123-s,101.297293119643,-66.2380357276682,3,58381.53264189815,58408.88267265046,mast:TESS/product/tess2018263035959-s0003-0000000176957796-0123-s_lc.fits,,"Ricker, George"
355636844,tess2020238165205-s0029-0000000355636844-0193-s,358.301530474831,-56.0131350243401,3,59087.74214384,59113.93602535,mast:TESS/product/tess2020238165205-s0029-0000000355636844-0193-s_lc.fits,,"Ricker, George"
355636844,tess2020212050318-s0028-0000000355636844-0190-s,358.301530474831,-56.0131350243401,3,59061.35306926,59086.60047951,mast:TESS/product/tess2020212050318-s0028-0000000355636844-0190-s_lc.fits,,"Ricker, George"
220435095,tess2019169103026-s0013-0000000220435095-0146-s,73.6414335623337,-57.5135485551435,3,58653.418258680555,58681.85622782407,mast:TESS/product/tess2019169103026-s0013-0000000220435095-0146-s_lc.fits,,"Ricker, George"
220435095,tess2018206190142-s0001-s0069-0000000220435095,73.6414335623337,-57.5135485551435,3,58653.412703043985,60207.63588997685,mast:TESS/product/tess2018206190142-s0001-s0069-0000000220435095-00810_dvt.fits,,"Ricker, George"
220435095,tess2023124020739-s0065-0000000220435095-0259-s,73.6414335623337,-57.5135485551435,3,60068.23670770833,60096.12710324074,mast:TESS/product/tess2023124020739-s0065-0000000220435095-0259-s_lc.fits,,"Ricker, George"
220435095,tess2020351194500-s0033-0000000220435095-0203-s,73.6414335623337,-57.5135485551435,3,59201.23219041,59227.07200698,mast:TESS/product/tess2020351194500-s0033-0000000220435095-0203-s_lc.fits,,"Ricker, George"
220435095,tess2020186164531-s0027-0000000220435095-0189-s,73.6414335623337,-57.5135485551435,3,59035.77669819,59060.14103578,mast:TESS/product/tess2020186164531-s0027-0000000220435095-0189-s_lc.fits,,"Ricker, George"
220435095,tess2023181235917-s0067-0000000220435095-0261-s,73.6414335623337,-57.5135485551435,3,60126.13998685185,60153.88354355324,mast:TESS/product/tess2023181235917-s0067-0000000220435095-0261-s_lc.fits,,"Ricker, George"
220435095,tess2023153011303-s0066-0000000220435095-0260-s,73.6414335623337,-57.5135485551435,3,60097.17155850695,60125.926093587965,mast:TESS/product/tess2023153011303-s0066-0000000220435095-0260-s_lc.fits,,"Ricker, George"
220435095,tess2023209231226-s0068-0000000220435095-0262-s,73.6414335623337,-57.5135485551435,3,60154.11688140046,60181.62713353009,mast:TESS/product/tess2023209231226-s0068-0000000220435095-0262-s_lc.fits,,"Ricker, George"
220435095,tess2021039152502-s0035-0000000220435095-0205-s,73.6414335623337,-57.5135485551435,3,59254.48810563658,59279.47789371528,mast:TESS/product/tess2021039152502-s0035-0000000220435095-0205-s_lc.fits,,"Ricker, George"
220435095,tess2018206190142-s0001-s0065-0000000220435095,73.6414335623337,-57.5135485551435,3,58653.412703043985,60096.12710324074,mast:TESS/product/tess2018206190142-s0001-s0065-0000000220435095-00734_dvt.fits,,"Ricker, George"
220435095,tess2018206190142-s0001-s0036-0000000220435095,73.6414335623337,-57.5135485551435,3,58653.412703043985,59305.48723604167,mast:TESS/product/tess2018206190142-s0001-s0036-0000000220435095-00471_dvt.fits,,"Ricker, George"
220435095,tess2021014023720-s0034-0000000220435095-0204-s,73.6414335623337,-57.5135485551435,3,59228.26642972222,59253.56451230324,mast:TESS/product/tess2021014023720-s0034-0000000220435095-0204-s_lc.fits,,"Ricker, George"
220435095,tess2021146024351-s0039-0000000220435095-0210-s,73.6414335623337,-57.5135485551435,3,59361.26907872685,59389.216614756944,mast:TESS/product/tess2021146024351-s0039-0000000220435095-0210-s_lc.fits,,"Ricker, George"
220435095,tess2020212050318-s0028-0000000220435095-0190-s,73.6414335623337,-57.5135485551435,3,59061.34939382,59086.59709833,mast:TESS/product/tess2020212050318-s0028-0000000220435095-0190-s_lc.fits,,"Ricker, George"
220435095,tess2020324010417-s0032-0000000220435095-0200-s,73.6414335623337,-57.5135485551435,3,59173.72832495,59199.72526426,mast:TESS/product/tess2020324010417-s0032-0000000220435095-0200-s_lc.fits,,"Ricker, George"
220435095,tess2023069172124-s0063-0000000220435095-0255-s,73.6414335623337,-57.5135485551435,3,60013.86637679398,60040.3979615162,mast:TESS/product/tess2023069172124-s0063-0000000220435095-0255-s_lc.fits,,"Ricker, George"
220435095,tess2018206190142-s0001-s0039-0000000220435095,73.6414335623337,-57.5135485551435,3,58653.412703043985,59389.216614756944,mast:TESS/product/tess2018206190142-s0001-s0039-0000000220435095-00493_dvt.fits,,"Ricker, George"
220435095,tess2020238165205-s0029-0000000220435095-0193-s,73.6414335623337,-57.5135485551435,3,59087.73878784,59113.93364735,mast:TESS/product/tess2020238165205-s0029-0000000220435095-0193-s_lc.fits,,"Ricker, George"
220435095,tess2021118034608-s0038-0000000220435095-0209-s,73.6414335623337,-57.5135485551435,3,59333.35233363426,59360.049622175924,mast:TESS/product/tess2021118034608-s0038-0000000220435095-0209-s_lc.fits,,"Ricker, George"
220435095,tess2021065132309-s0036-0000000220435095-0207-s,73.6414335623337,-57.5135485551435,3,59280.40148990741,59305.48723604167,mast:TESS/product/tess2021065132309-s0036-0000000220435095-0207-s_lc.fits,,"Ricker, George"
220435095,tess2023096110322-s0064-0000000220435095-0257-s,73.6414335623337,-57.5135485551435,3,60040.611849050925,60067.52976292824,mast:TESS/product/tess2023096110322-s0064-0000000220435095-0257-s_lc.fits,,"Ricker, George"
220435095,tess2023043185947-s0062-0000000220435095-0254-s,73.6414335623337,-57.5135485551435,3,59987.93909438657,60013.65110206018,mast:TESS/product/tess2023043185947-s0062-0000000220435095-0254-s_lc.fits,,"Ricker, George"
220435095,tess2023237165326-s0069-0000000220435095-0264-s,73.6414335623337,-57.5135485551435,3,60181.853527465275,60207.63866780093,mast:TESS/product/tess2023237165326-s0069-0000000220435095-0264-s_lc.fits,,"Ricker, George"
