2024-11-30 23:40:55,055 - INFO - Starting extraction process using index: data/positive_tics.csv
2024-11-30 23:40:55,062 - INFO - Loaded index CSV: data/positive_tics.csv
2024-11-30 23:40:55,090 - INFO - Saved light curve data to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive_extract/LC_EXT/176860064_1_LC.csv
2024-11-30 23:40:55,091 - INFO - Saved aperture mask to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive_extract/AP_EXT/176860064_1_AP.npy
2024-11-30 23:40:55,117 - DEBUG - Loaded backend qtagg version 5.15.10.
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansKannadaUI-ExtraCondensedBold.ttf', name='Noto Sans Kannada UI', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifHebrew-ExtraCondensedExtraBold.ttf', name='Noto Serif Hebrew', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArabicUI-ExtraCondensedMedium.ttf', name='Noto Sans Arabic UI', style='normal', variant='normal', weight=500, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansBalinese-SemiBold.ttf', name='Noto Sans Balinese', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifHebrew-SemiBold.ttf', name='Noto Serif Hebrew', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansSinhalaUI-Black.ttf', name='Noto Sans Sinhala UI', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-cjk/NotoSansCJK-Light.ttc', name='Noto Sans CJK JP', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansDevanagari-ExtraCondensedBlack.ttf', name='Noto Sans Devanagari', style='normal', variant='normal', weight=900, stretch='condensed', size='scalable')) = 10.725
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansSyriacEastern-Regular.ttf', name='Noto Sans Syriac Eastern', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArabicUI-Bold.ttf', name='Noto Sans Arabic UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,166 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifEthiopic-ExtraCondensedLight.ttf', name='Noto Serif Ethiopic ExtraCondensed', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansLaoLooped-SemiCondensedExtraLight.ttf', name='Noto Sans Lao Looped SemiCondensed', style='normal', variant='normal', weight=200, stretch='condensed', size='scalable')) = 10.44
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansGujarati-SemiCondensedLight.ttf', name='Noto Sans Gujarati', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansKannada-Medium.ttf', name='Noto Sans Kannada', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifYezidi-Regular.ttf', name='Noto Serif Yezidi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMono-CondensedThin.ttf', name='Noto Sans Mono', style='normal', variant='normal', weight=100, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifBengali-Regular.ttf', name='Noto Serif Bengali', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansDevanagari-CondensedExtraBold.ttf', name='Noto Sans Devanagari', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSans-ExtraCondensedLight.ttf', name='Noto Sans', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansSinhalaUI-CondensedExtraLight.ttf', name='Noto Sans Sinhala UI Condensed', style='normal', variant='normal', weight=200, stretch='condensed', size='scalable')) = 10.44
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArmenian-ExtraCondensedLight.ttf', name='Noto Sans Armenian', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMono-SemiCondensedExtraLight.ttf', name='Noto Sans Mono', style='normal', variant='normal', weight=200, stretch='condensed', size='scalable')) = 10.44
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-SemiCondensed.ttf', name='Noto Serif', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifTamil-Black.ttf', name='Noto Serif Tamil', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMalayalamUI-ExtraCondensedThin.ttf', name='Noto Sans Malayalam UI ExtraCondensed', style='normal', variant='normal', weight=100, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansKhmer-CondensedBold.ttf', name='Noto Sans Khmer', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArabicUI-SemiCondensedBold.ttf', name='Noto Sans Arabic UI', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansEthiopic-CondensedExtraBold.ttf', name='Noto Sans Ethiopic Condensed', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansSymbols-Medium.ttf', name='Noto Sans Symbols', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansCanadianAboriginal-Black.ttf', name='Noto Sans Canadian Aboriginal', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-SemiCondensedLightItalic.ttf', name='Noto Serif', style='italic', variant='normal', weight=300, stretch='condensed', size='scalable')) = 11.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifSinhala-Thin.ttf', name='Noto Serif Sinhala', style='normal', variant='normal', weight=100, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansDevanagari-Medium.ttf', name='Noto Sans Devanagari', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifMyanmar-Condensed.ttf', name='Noto Serif Myanmar Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMalayalamUI-CondensedLight.ttf', name='Noto Sans Malayalam UI Condensed', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifHebrew-SemiCondensedMedium.ttf', name='Noto Serif Hebrew', style='normal', variant='normal', weight=500, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoFangsongKSSVertical-Regular.ttf', name='Noto Fangsong KSS Vertical', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
